,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
54086,-0.12,-0.14,-0.1,-0.06,-0.03,0.04,0.1,0.05,0.02,0.05,0.09,0.17,0.27,0.24,0.2,0.21,0.25,0.3,2311201.24,642.0,0.016999999999999998,0.18899999999999997,0.682736429567124,0.2040007647331372,0.04300000000000001,-0.18700000000000008,0.9896177142406978,0.0012679315914880876,0.031,-0.017,0.8430888544916528,0.07283148011513277,2.0
7732,0.3,0.32,0.13,0.21,0.19,0.16,0.59,0.61,0.34,0.5,0.48,0.42,0.44,0.47,0.29,0.47,0.5,0.4,8043.08,267.8,0.007000000000000011,0.405,0.13107603009779942,0.8335879451647933,-0.026,0.28,-0.5662888944297418,0.3196219220486383,-0.02400000000000001,0.542,-0.3794733192202057,0.5286997495669971,1.0
28031,0.3,0.15,0.21,0.1,0.17,0.25,0.61,0.48,0.55,0.31,0.49,0.58,0.67,0.58,0.65,0.39,0.58,0.7,20786.69,302.45,0.016999999999999994,0.5290000000000001,0.22839891633269505,0.7117420023419505,0.016000000000000004,0.12799999999999995,0.4417261042993864,0.4564436570943445,0.013999999999999992,0.4400000000000001,0.2113463375237088,0.7329224129417372,2.0
28359,0.24,0.19,0.04,0.02,0.08,0.07,0.43,0.49,0.33,0.31,0.3,0.36,0.48,0.5,0.39,0.44,0.33,0.54,10634.56,321.55,0.0020000000000000074,0.4340000000000001,0.0376621788577356,0.952058363351484,-0.02,0.14,-0.4794633014853842,0.41379938569392294,-0.029000000000000005,0.445,-0.5934454940757922,0.2914537412277966,2.0
16416,-0.02,0.1,0.12,0.23,0.21,0.3,0.25,0.36,0.46,0.55,0.56,0.64,0.37,0.49,0.6,0.69,0.64,0.75,59620.49,377.03,0.056000000000000015,0.466,0.9022873897759528,0.03612349821620155,0.049,0.044999999999999984,0.9416114914795076,0.016787432077101854,0.06600000000000003,0.31599999999999995,0.9739642045665764,0.005023272682546866,2.0
33388,0.07,-0.01,-0.0,-0.01,0.05,0.16,0.32,0.18,0.3,0.29,0.4,0.52,0.23,0.3,0.48,0.51,0.56,0.65,6858.16,416.56,0.07800000000000001,0.266,0.9557790087219499,0.0110885480236882,0.039000000000000014,-0.07900000000000001,0.8494333416446128,0.06852783901752582,0.07800000000000001,0.10399999999999993,0.9624496759864041,0.008685463149800699,2.0
19463,0.02,0.02,0.04,0.13,0.15,0.1,0.28,0.31,0.32,0.45,0.47,0.43,0.3,0.46,0.47,0.54,0.59,0.5,16141.15,472.67,0.02,0.452,0.5902813361009552,0.2947010494448276,0.027000000000000003,0.0069999999999999785,0.7582355410073361,0.1374072706154301,0.039,0.27899999999999997,0.8182018243392719,0.09047020349712047,2.0
8755,0.17,0.08,0.13,0.1,0.02,0.05,0.44,0.37,0.42,0.42,0.3,0.2,0.2,0.39,0.43,0.42,0.42,0.21,20881.27,241.23,-0.037000000000000005,0.485,-0.6297473237520628,0.2548902622991981,-0.016999999999999998,0.127,-0.6283380803113868,0.2562851017954741,-0.046,0.48,-0.7788782807003859,0.12059358036588373,2.0
57244,0.09,0.07,0.11,0.12,0.11,0.12,0.29,0.29,0.29,0.3,0.37,0.37,0.41,0.46,0.36,0.42,0.51,0.5,190095.13,366.18,0.023,0.381,0.5899375524489635,0.2950544301221396,0.009999999999999998,0.07600000000000001,0.7624928516630233,0.13388663779098908,0.02400000000000001,0.252,0.8994380267950337,0.037698378911718136,1.0
54424,0.29,0.02,0.1,0.16,0.12,0.15,0.61,0.3,0.3,0.38,0.38,0.41,0.33,0.4,0.4,0.48,0.49,0.61,9572.0,391.62,0.05099999999999999,0.32299999999999995,0.9355042687649926,0.01947079095765081,0.028,0.026000000000000027,0.7951465679458907,0.10781567099867843,0.03,0.264,0.9338592095470354,0.020215369747493103,1.0
46547,-0.11,0.02,0.05,0.11,0.05,0.13,0.05,0.21,0.34,0.42,0.35,0.38,0.33,0.19,0.49,0.55,0.49,0.46,38732.73,616.46,0.054000000000000006,0.27399999999999997,0.6040404496926219,0.2806492337452755,0.022,0.005999999999999992,0.7554831017177898,0.13969773963372326,0.035,0.235,0.6999999999999998,0.1881204043741873,1.0
55919,-0.19,0.07,0.16,0.03,0.07,0.09,-0.03,0.22,0.46,0.26,0.24,0.35,0.31,0.22,0.37,0.39,0.26,0.46,6799.44,512.0,0.037000000000000005,0.22899999999999995,0.5955360714811767,0.28931337764342274,-0.005000000000000003,0.099,-0.16556654463313053,0.7901612391685435,0.003999999999999992,0.2940000000000001,0.06362847629757766,0.9190404065667572,1.0
15518,0.08,-0.14,-0.07,-0.08,-0.04,-0.02,0.3,-0.02,0.14,0.14,0.22,0.2,0.31,0.27,0.37,0.41,0.42,0.22,192259.81,533.7,-0.0050000000000000044,0.353,-0.08911537572493998,0.8866851406174943,0.027000000000000003,-0.15100000000000002,0.9315885051121782,0.02125788076421132,0.052000000000000005,-0.020000000000000046,0.8725028717782317,0.05359193563014387,1.0
37078,0.0,-0.03,0.04,0.12,0.15,0.09,0.15,0.18,0.29,0.41,0.46,0.41,0.28,0.31,0.46,0.53,0.49,0.55,123303.55,550.57,0.051,0.31499999999999995,0.8490571267203342,0.06878075652011871,0.035,-0.030999999999999982,0.7802864336184921,0.11947067817930207,0.063,0.16099999999999998,0.8753377726433472,0.05183747553229146,1.0
42249,-0.04,0.06,0.13,0.16,-0.02,0.08,0.26,0.24,0.42,0.5,0.15,0.32,0.41,0.37,0.51,0.59,0.43,0.54,43700.47,478.97,0.02600000000000001,0.41,0.4678802379866516,0.4267878628378893,-0.011,0.115,-0.2505181352708523,0.6843989248683247,-0.010999999999999996,0.35899999999999993,-0.12493548386667,0.8413420003182951,1.0
57638,-0.12,-0.0,0.13,0.29,0.22,0.24,0.06,0.21,0.35,0.54,0.5,0.46,0.41,0.49,0.5,0.53,0.63,0.16,37624.35,623.84,-0.053000000000000005,0.621,-0.4716377762164383,0.4225643597018893,0.057,0.0050000000000000044,0.7895373000180065,0.11217276599168564,0.065,0.21700000000000005,0.7709738486456215,0.12695459566699688,1.0
35006,0.21,0.02,0.08,-0.02,0.01,-0.03,0.52,0.36,0.21,0.23,0.28,0.23,0.45,0.37,0.13,0.42,0.32,0.39,15949.29,269.18,0.02300000000000001,0.25699999999999995,0.3149798455072467,0.605688998122655,-0.016999999999999998,0.06299999999999999,-0.621581560508061,0.26300079983889857,-0.018999999999999996,0.319,-0.4958959634232864,0.395533735054252,2.0
14553,-0.17,-0.21,-0.02,-0.06,-0.08,-0.05,-0.12,-0.11,0.08,0.17,0.15,0.22,0.17,0.24,0.15,0.36,0.46,0.42,86035.63,774.92,0.06699999999999999,0.125,0.8227209262911074,0.08718071418358883,0.026,-0.162,0.5578833980497371,0.32847343653699057,0.073,-0.11699999999999995,0.8966678744142884,0.039249878131782184,1.0
17676,0.14,-0.03,-0.03,0.03,-0.01,0.09,0.43,0.23,0.28,0.29,0.25,0.37,0.41,0.33,0.36,0.4,0.21,0.33,4741.98,225.0,-0.015,0.371,-0.3344084715507823,0.5822924527648179,0.026,-0.06800000000000002,0.8062257748298549,0.09936503735003743,0.024999999999999998,0.209,0.7365695637359869,0.15573276706545755,1.0
41150,-0.02,-0.14,-0.08,-0.05,0.01,0.04,0.12,0.03,0.17,0.22,0.28,0.31,0.25,0.34,0.38,0.38,0.51,0.55,28134.66,564.32,0.055000000000000014,0.267,0.944911182523068,0.015392438073302296,0.045000000000000005,-0.179,0.9933992677987828,0.0006431193269336657,0.06699999999999999,0.0010000000000000564,0.9602836132689656,0.009444612044342836,1.0
59086,0.03,0.11,0.22,0.25,0.21,0.25,0.26,0.34,0.49,0.5,0.39,0.52,0.42,0.5,0.63,0.63,0.3,0.63,91327.93,452.25,-0.007000000000000001,0.5589999999999999,-0.07661376757403254,0.9025478344208696,0.027000000000000003,0.127,0.7409087549304099,0.15200909324313236,0.026,0.3700000000000001,0.5233602934485085,0.3654485988219477,2.0
40981,-0.17,-0.11,0.08,0.1,0.12,0.13,-0.11,0.05,0.38,0.4,0.43,0.44,0.13,0.36,0.53,0.56,0.61,0.62,10479.24,750.22,0.06,0.35600000000000004,0.9033030954895164,0.03556731579656065,0.052000000000000005,-0.09200000000000004,0.829271211742346,0.0824796941442353,0.083,0.09099999999999996,0.8008956810924573,0.10340447038336957,1.0
51798,-0.12,0.04,0.04,0.08,0.06,0.06,0.14,0.27,0.34,0.35,0.31,0.34,0.31,0.31,0.53,0.52,0.45,0.55,227368.58,383.99,0.040000000000000015,0.3520000000000001,0.6448258802191611,0.240095691462934,0.005999999999999999,0.038000000000000006,0.5669467095138407,0.3189317919127754,0.011000000000000001,0.28900000000000003,0.5317050689751149,0.3564224290058912,2.0
1165,0.09,0.06,0.07,0.16,0.17,0.2,0.38,0.35,0.33,0.45,0.48,0.52,0.43,0.45,0.48,0.55,0.57,0.61,333323.49,359.07,0.041,0.4089999999999999,0.9863067098656104,0.0019195592481288481,0.038000000000000006,0.018000000000000016,0.9535826651341416,0.011920844664892068,0.049000000000000016,0.279,0.9374664464468918,0.018594621960130932,2.0
