,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
275,29151.480275,0.64851458867,272.52941176,0.6840016984899999,0.62400164971,0.59304302931,0.5247931388699999,0.55667732418,0.53592675752,0.54308911757,0.53286794287,0.68239987126,0.62951718385,0.19522368277,0.22448979318000006,0.6164258019300001,0.20358395662,0.21176812142,0.19275616109,0.2049109334,0.010240794239,2711.6286219,5.2696518641,0.0037439384309,991.34601973,1.9265353518,1.4865413453,-0.0016753522789999865,0.6522952978850001,-0.07994865010825321,0.8983147620319863,-0.0011792231379999965,0.20518624047400003,-0.2421509090550955,0.6947240855064987,0.00025614013900002733,0.5379024357850001,0.033704142499555084,0.957094679058996,2.0
315,20669.95233,0.5957286341800001,265.0,0.6409947952699999,0.48618601706,0.44800606773,0.39931299558,0.48699865712,0.43023657315,0.47102094019,0.5023545663100001,0.6264646601,0.5869636575899999,0.12405422675,0.089755021501,0.58048559685,0.10507358092,0.14388803956,0.16278932304000002,0.13347106618,0.0080848375571,3008.6348863000007,4.9319696192,0.0029025455122,1080.1329805,1.7706312815,1.3912829428,0.017406902441000016,0.531998238051,0.4549347578206018,0.4414109545722736,0.006705321920000003,0.11373928153000006,0.491337263705873,0.40058162339248404,0.019010542453000014,0.400953119111,0.7088372812005825,0.18013402597546588,2.0
570,54364.321262,0.52729742859,255.24324324,0.53550634833,0.5645992949499999,0.42751718858,0.41825782423,0.49830623693,0.54563927251,0.56675249891,0.5527705541,0.51794755459,0.64846137258,0.08482129975500001,0.081247529562,0.60802291595,0.22057617947,0.1838929379,0.24724413251,0.24124049849,0.014013718432,1989.2142685,5.2798000587,0.0037536252218,532.81824419,1.4142135624,1.4894040982,0.006928844826000014,0.554120962802,0.20512519146627428,0.7406697693336164,0.03821932261,0.08089704179500001,0.9063190787653072,0.033932182436288816,0.03374717217199999,0.41510376081999995,0.8810226405926869,0.048375317510870916,2.0
617,13826.716268,0.51953437567,281.81818182,0.4018131566,0.24473532021,0.41085507154,0.25692833841,0.35440319777,0.58160520554,0.0,0.5720611524600001,0.0,0.31587279081,0.073348659873,0.087993318578,0.54727759838,0.33021204591,0.12046223938,0.25800715804,0.0,0.0064678700457,3562.2237054,4.8,0.0019433530911,1070.3150187,1.4422205102,1.3540550005,0.020327139974000014,0.24095835327799994,0.15834283039710548,0.7992373131423346,0.02488547569540001,0.08174959355439998,0.29089479367763205,0.6349131997406443,0.02758624303300004,0.27024084973699986,0.18030268044435085,0.7716814767887188,2.0
765,20575.669016,0.772490696,284.5625,0.5899903336,0.61001858992,0.68534825479,0.44643110212,0.44286594584,0.41110246672,0.5930777420000001,0.64426949445,0.66716670289,0.4037705993,0.14481223353,0.33649904325,0.72342361948,0.18008735075,0.12422979075,0.28667006291,0.24888129094,0.0080848375571,3274.1026704,5.1449575543,0.0026949458524,1091.3675568,1.7149858513999998,1.45136573,0.030398642841,0.5076780405150001,0.3976313927108294,0.5073971610450853,0.040836715894999986,0.074425998091,0.9359360334881796,0.019276874010333383,0.05458885808200003,0.34378277597999995,0.8302654719853044,0.08177316801571041,1.0
258,10505.751706,0.59893101454,232.75,0.48498617975,0.7000265999799999,0.43103889101,0.58792552509,0.3028927516,0.33736793462,0.5102119837899999,0.49335741683,0.6253326096,0.4655452951,0.24050174261,0.12394287947,0.64408401439,0.019394334902,0.031404020828,0.16291753869,0.16833432489,0.0053898917047,3905.9470454,4.5883146774,0.0017256073105999998,1250.5132098,1.468977446,1.2943396735,0.0028461258670000045,0.5754565621629999,0.04359817153023822,0.9445066748104431,-0.0018238103777999976,0.12998182351739998,-0.030159916856969345,0.9616050236792149,0.001818301566999997,0.440896217685,0.02371476316740876,0.9698082561677543,1.0
95,29404353.427,0.21495613713000006,811.40375549,0.39791258824,0.28313703855,0.016746632542,0.051495495914,0.14448633715999998,0.20700952045,0.23969342054,0.32425794883000003,0.40231351305,0.46153330212,-0.11817021421,-0.10320495609,0.3894659478800001,-0.0095580141895,-0.07064878301300001,0.097185441911,0.040830258375,0.750258,197.1086864,12.160689489000001,0.13507032979,35.485839906,2.1893113298,3.4304671691000004,0.02170587434700001,0.321754854927,0.5311154559135052,0.35705837372501026,0.05421903536299999,-0.17472936831429994,0.9994359600124068,1.6079107975956053e-05,0.06407319892120003,0.0011689478151999386,0.988888307055473,0.001403715250357857,1.0
5,39892.221678,0.61911230038,254.02857143,0.42499379441,0.50998617088,0.45479367425,0.46968609384,0.58507818894,0.58016992774,0.57249936958,0.5798489799100001,0.56988354358,0.64934695429,0.19976723267,0.16700737892,0.55415800048,0.30003590385,0.29368258164,0.25426785213,0.27361429131,0.010779783409,2061.4720517,4.7140452079,0.0033767574744,645.75426932,1.4766704289,1.3298076013,0.023323340837,0.47170367021700005,0.4475051464210875,0.4498528587761549,0.008893294858999999,0.23759368774300005,0.3490314451483685,0.5647949069961479,0.020774695278000018,0.4951324261679999,0.6666843937733716,0.2190852142752469,2.0
768,25438.79135,0.5492337048100001,371.61538462,0.46617396318,0.60357395524,0.4518001214399999,0.49782778323,0.42125350805,0.5776717634399999,0.50905259095,0.52905548994,0.5227094271399999,0.6500702415199999,0.18437039639,0.16505336905999998,0.5355914601899999,0.24388278027,0.1880961025,0.24252553781,0.19191873393,0.0091628158981,3003.8592754,5.2463138987,0.0033334639214,1092.8143303,1.9086270308,1.4799578268,-0.007942952614000033,0.579452667296,-0.17455870281043925,0.7788788852315232,0.012013291426999995,0.17411883589900007,0.6271385261769258,0.25747400464384,0.015025449631999994,0.461895878226,0.4179910048251253,0.4837286396020629,1.0
52,40357.583737,0.60780729105,235.34615385,0.59030404107,0.6657786361,0.5914268030100001,0.60681374868,0.56043657329,0.65883870671,0.6719469693000001,0.6776769517199999,0.6823804246100001,0.62982175251,0.2982275695,0.23288044665,0.58410573916,0.325225905,0.22726608482,0.3635912848,0.38808334867,0.01185776175,2267.6192569,5.1854497287,0.0040424187785,773.0520194000002,1.7677669530000002,1.4627883615,-0.007126941033999991,0.651858941792,-0.2567577642865322,0.6767141893953241,0.029154469445,0.233015430223,0.7373126778425473,0.15509320218555778,0.025323680208999975,0.5591715493130001,0.7964858066442672,0.10678312486967613,2.0
