,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,TXU_asm,TXU_HOM,TXU_ENT,TXU_CON,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,ndvi_rvalue,ndmi_rvalue,nbr_rvalue,ndvi_slope,ndmi_slope,nbr_slope,label
50483,-0.03,-0.1,-0.04,0.04,0.02,0.06,0.22,0.11,0.19,0.27,0.27,0.27,0.34,0.34,0.4,0.39,0.44,0.34,18317.01,317.82,0.11,0.01,1.61,30567.56,0.0,0.01,3055.83,4.8,0.0,938.83,1.48,1.35,0.3705484076999652,0.7999427743097995,0.6764499711910349,0.008285714285714283,0.025428571428571425,0.023142857142857142,2.0
16270,-0.26,-0.16,-0.04,-0.05,0.08,-0.03,-0.16,0.0,0.21,0.24,0.37,0.27,0.27,0.36,0.44,0.45,0.49,0.47,6662.22,893.46,0.12,0.02,0.88,3898.51,0.0,0.01,5708.69,5.55,0.0,2078.0,2.02,1.56,0.9004503377814963,0.8442924080729793,0.8952090963849307,0.04,0.05314285714285714,0.094,1.0
10672,0.15,-0.01,0.01,0.02,-0.05,0.0,0.47,0.18,0.26,0.33,0.22,0.3,0.48,0.23,0.48,0.47,0.37,0.48,7352.24,322.38,0.09,0.01,0.4,5394.43,0.0,0.01,5300.93,5.35,0.0,1874.16,1.89,1.51,0.21513986985133932,-0.6748471821174201,-0.34615596213152305,0.011714285714285712,-0.02457142857142857,-0.018857142857142857,1.0
6397,0.07,0.07,-0.0,0.08,0.02,0.08,0.26,0.29,0.21,0.34,0.27,0.38,0.23,0.33,0.34,0.35,0.29,0.4,22997.96,492.68,0.09,0.01,1.83,118725.35,0.0,0.01,3204.65,5.73,0.0,1015.5,1.82,1.62,0.6837407570709155,-0.031033560252705,0.5922404878223626,0.02114285714285714,-0.0005714285714285729,0.01914285714285715,1.0
23197,0.17,-0.12,-0.13,-0.13,-0.11,-0.05,0.45,0.1,0.03,0.06,0.11,0.21,0.47,0.27,0.34,0.35,0.44,0.46,7465.63,426.18,0.11,0.01,0.44,34148.86,0.0,0.01,5300.93,5.35,0.0,1676.3,1.69,1.51,0.3126508780989988,-0.4872789831691778,-0.3939945745780545,0.013428571428571432,-0.030571428571428576,-0.03257142857142857,1.0
21770,0.14,0.13,0.18,0.08,0.15,-0.1,0.43,0.46,0.51,0.42,0.51,0.21,0.52,0.51,0.66,0.56,0.67,0.41,76101.75,281.48,0.05,0.03,2.57,6709.01,0.0,0.02,2454.74,7.54,0.01,577.96,1.78,2.13,-0.092215788535055,-0.6516095400132121,-0.4994845874946517,-0.00485714285714286,-0.035428571428571434,-0.029714285714285717,2.0
38216,-0.06,0.03,-0.0,-0.05,-0.01,0.01,0.21,0.25,0.14,0.19,0.26,0.32,0.37,0.33,0.17,0.36,0.42,0.46,6923.27,302.29,0.15,0.01,1.17,9502.0,0.0,0.0,5137.82,4.99,0.0,1537.11,1.49,1.41,0.4850431128731834,0.2747104630503118,0.5394608086523583,0.026,0.005142857142857143,0.018000000000000002,2.0
24479,-0.01,0.03,0.08,0.16,0.12,0.15,0.25,0.23,0.39,0.43,0.42,0.44,0.43,0.2,0.44,0.38,0.52,0.53,16607.14,298.64,0.11,0.01,1.44,14176.52,0.0,0.01,3351.55,5.03,0.0,1070.61,1.61,1.42,0.6213126521846356,0.9046895187423868,0.8809202053326199,0.04,0.032857142857142856,0.044571428571428574,1.0
30393,-0.11,-0.15,-0.0,0.19,0.13,0.17,0.14,0.13,0.3,0.53,0.47,0.48,0.31,0.36,0.34,0.35,0.63,0.65,5125.2,400.33,0.12,0.03,1.59,13233.0,0.0,0.0,5772.12,4.67,0.0,1843.84,1.49,1.32,0.8637433829436537,0.8850809804304065,0.886248273536601,0.07200000000000001,0.06942857142857142,0.0842857142857143,2.0
14618,-0.18,-0.06,-0.15,-0.14,-0.17,-0.17,0.08,0.2,0.1,0.12,0.06,0.07,0.32,0.23,0.34,0.31,0.29,0.31,114603.85,352.27,0.03,0.02,3.19,12115.07,0.0,0.02,1313.82,5.12,0.01,405.64,1.58,1.44,0.14085904245475253,-0.3268228676411534,-0.4690299951377804,0.0028571428571428524,-0.007714285714285719,-0.012857142857142859,2.0
31317,0.06,0.08,0.12,0.22,0.23,0.11,0.38,0.39,0.39,0.54,0.55,0.31,0.49,0.48,0.43,0.6,0.61,0.37,157790.16,410.68,0.04,0.01,2.81,59476.32,0.0,0.03,1500.94,6.61,0.01,443.42,1.95,1.86,-0.022706268978257886,0.5960640703966013,0.1551411225572042,-0.0011428571428571425,0.022857142857142854,0.008,2.0
10505,0.11,-0.11,-0.03,0.03,-0.03,0.12,0.33,0.03,0.18,0.29,0.2,0.4,0.33,0.27,0.32,0.43,0.3,0.36,37922.48,641.53,0.08,0.01,1.9,128162.41,0.0,0.01,2679.91,6.13,0.01,991.33,2.27,1.73,0.3376485075607182,0.2092958574480899,0.3965354234273392,0.009999999999999992,0.01,0.027714285714285712,1.0
