,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,label
2146,97352.947215,0.52083571632018,315.23232323,0.615376930469754,0.610866735378901,0.395718573496259,0.452938562152029,0.486360950887888,0.382496514710887,0.57949291871882,0.534413526455561,0.676127677676321,0.476294620797552,0.12744959378508,0.093635052714855,0.501335830181495,0.05723496332588,0.153594897139346,0.206568840677026,0.225481657461188,2.0
2231,3318.486864,0.108393641809622,341.0,0.551952123641968,0.399810532728831,0.188974181811015,0.385106861591339,0.428998738527298,0.305030822753906,0.425463100274404,0.434333016475042,0.578070024649302,0.410450627406438,0.094839525719484,0.052548161397378,0.503458668788274,0.07172513132294,0.122769144674142,0.103952027857304,0.113981808225314,2.0
2234,48690.319844,0.562550289725715,308.6097561,0.648726669902151,0.55474136702039,0.404272853142836,0.460799901322885,0.528129556300965,0.5481540100141,0.588351708244194,0.575777500867844,0.686037757179954,0.616578673774546,0.150993464048952,0.079575176721185,0.594423737038266,0.216723266988993,0.196119046262042,0.241963055323471,0.256298981268298,2.0
2236,18813.41113,0.526884778457529,276.07142857,0.498532957013916,0.488164033083355,0.448996785809012,0.427104888593449,0.442228268174564,0.540502405341934,0.590670820544748,0.585335645605536,0.699325140784768,0.622377947849386,0.120433156762053,0.117886529687573,0.588706207626006,0.207368789350285,0.170256032444098,0.241255656323012,0.256300640018547,2.0
2237,79143.099128,0.186357633008824,312.1025641,0.654463760919504,0.541338299537872,0.4360065564409,0.452774210409685,0.548486247762934,0.592081475299555,0.61156123674522,0.589616232818657,0.702860966072244,0.565444573239013,0.148888754743067,0.202663702981455,0.63010405493783,0.261327714665786,0.20304652881789,0.251084378966085,0.274152838956501,2.0
2240,23237.398861,0.517201164189507,255.2,0.498148040402503,0.364429620759828,0.562569109832539,0.369466394540809,0.383365645295098,0.367538972269921,0.39391051530838,0.464535662106105,0.579511046409607,0.533522402956372,0.102330356215437,0.209585782359628,0.510609094585691,0.059750006090672,0.094083850449395,0.142635054975038,0.099612797796726,2.0
2241,147197.20322,0.399639206799282,301.82442748,0.61929133859344,0.525595680103266,0.608360962543873,0.436571312914217,0.513772489545041,0.544859699512783,0.605764409390891,0.582098514962017,0.700376809789584,0.611118329198737,0.127285202615128,0.284601715249675,0.600330851579967,0.208925112185622,0.192861820578127,0.249478951320612,0.266743836606421,2.0
2287,25476.083467,0.595018173967089,289.0,0.648457261531249,0.492138395490854,0.429958173206874,0.404862558064253,0.538759129850761,0.54756551657034,0.563934373466865,0.432162145557611,0.66500976163408,0.627152629520582,0.094919013871771,0.076087804777282,0.352010439919389,0.204040148659893,0.184242131593435,0.187039837241173,0.212335764066033,2.0
2330,83244.439149,0.240123039566808,268.4137931,0.678249468406042,0.366746268868446,0.426398784272811,0.395282216171424,0.591990342140198,0.554432819485664,0.588458873067342,0.535853098432223,0.673794768803509,0.594522272149722,0.147296472291152,0.208492364520314,0.615936577717463,0.226125788340966,0.242925922572613,0.202401123742263,0.246863900346959,2.0
2331,20534.90058,0.292564291406322,269.90909091,0.621460967772716,0.38057730487875,0.592788013252052,0.437675600921786,0.542261468397604,0.507649484518412,0.0,0.55443133051331,0.0,0.580901195068617,0.157000654653923,0.292179501539952,0.627320249338408,0.195818893812798,0.196158662841127,0.224842754570214,0.0,2.0
2332,37177.865458,0.174254405409542,312.31818182,0.399606745189695,0.327135586694105,0.261859068897233,0.311783624896363,0.334304404792501,0.539996516793521,0.0,0.577203372521187,0.0,0.626811996324738,0.086550438164997,0.10072562465472,0.633775581174822,0.210385481034642,0.114544748815138,0.231894251348367,0.0,2.0
2356,23280.567255,0.366216218187695,229.73333333,0.496982702896709,0.341732108876819,0.380731603928975,0.298006101733162,0.585588401272183,0.518343681380862,0.509406320073388,0.511158132127353,0.625162709843029,0.600258093504679,0.186516394927388,0.133615962451413,0.589256942272186,0.18402086127372,0.256764983492238,0.172717833980208,0.188376957719976,2.0
2379,29151.480275,0.64851458867391,272.52941176,0.684001698493958,0.624001649709848,0.593043029308319,0.524793138870826,0.556677324175835,0.535926757523647,0.543089117568273,0.532867942865078,0.682399871257635,0.62951718385403,0.195223682774947,0.224489793181419,0.616425801928227,0.203583956624453,0.211768121421337,0.192756161093712,0.204910933398283,2.0
2392,17749.33689,0.618685221672058,266.09090909,0.680575372651219,0.606128687039018,0.53214989900589,0.530423725955188,0.568851640447974,0.582546764984727,0.613032208755612,0.527583139017224,0.700477743521333,0.642533123493195,0.19607024313882,0.174446435272694,0.60951148159802,0.241892905440181,0.230057740584016,0.198610031045973,0.272562418598682,2.0
2399,52613.143814,0.300481841547622,325.09756098,0.636460169832757,0.445385040120876,0.283843881222937,0.430558978243077,0.53240098090882,0.528224982796831,0.606017056297749,0.606685066476781,0.669862460582814,0.650685418159404,0.166096952842905,0.077393903138323,0.663243440237451,0.218442326213451,0.20778699124113,0.27017705301021,0.280999084736439,2.0
2407,153817.39267,0.461096978644385,366.79166667,0.545580783464613,0.427187424289049,0.311727433730542,0.318447572199533,0.343408527926807,0.356656181116174,0.381870565079425,0.398350009844251,0.564302837435346,0.512581826126489,0.022329326430875,-0.00805411050384,0.554209776385857,0.052937694393985,0.031930358696348,0.081233440682736,0.074207831327515,2.0
2419,29364.566233,0.131153711117804,259.11111111,0.614528332116469,0.520263604960352,0.319603319678988,0.500467572009788,0.51746486155492,0.453727247017734,0.520578515979479,0.493143569748357,0.622769788751062,0.556352617043369,0.181019103470838,0.119970966130495,0.537754120691767,0.144925960251745,0.170875056137173,0.147865857595121,0.179862260115596,2.0
2420,44944.095466,0.446460145476617,295.03125,0.58475637730257,0.491240490365911,0.475117503404617,0.425493208346543,0.463556018876441,0.491354844084492,0.542626340801899,0.466752778232834,0.646972545871028,0.561483340130912,0.118482377863041,0.182192263205846,0.527412641931463,0.16502907415737,0.12265629786998,0.149596425658667,0.203120886706389,2.0
2431,104373.97312999998,0.304990898873379,270.28235294,0.482441554466883,0.38570303293646,0.377151405138354,0.304356374407327,0.355864207771488,0.348411297766111,0.308100275993347,0.343947780068203,0.459913455745549,0.46612850488514,0.04538501578293,0.196770117648186,0.469915661760556,0.061364098339685,0.048704137608631,0.049948208795745,0.01742434724234,2.0
2456,14014.328182,0.549657295942307,278.65,0.556517581939697,0.470346410274506,0.428699086904526,0.377791709899902,0.385681843161583,0.42697273850441,0.423563033342361,0.433770773410797,0.60216917514801,0.554445333480835,0.072759499512613,0.091260184403509,0.520555038452148,0.121679967800155,0.075749128842726,0.111249893605709,0.11274117438892,2.0
2465,22419.143554,0.550291837751865,261.71428571,0.640690320730209,0.452587343752384,0.395603306591511,0.450187504291534,0.488240306079388,0.521754825860262,0.547883805632591,0.547148627787828,0.648662589490414,0.575385583937168,0.125562096759677,0.053891458222643,0.651078088581562,0.187857158482075,0.142639169842005,0.188235641643405,0.197570729628205,2.0
2468,137328.32602,0.564342569446925,302.24166667,0.617044815107396,0.442471722437411,0.420014857568524,0.357795232473588,0.435927926702837,0.428873231459637,0.494841215672431,0.488741446879445,0.630260798322174,0.587462096554892,0.049883585855334,0.072595375652578,0.597470528130629,0.111510014853307,0.099803969093078,0.14045228949767,0.154073316442631,2.0
2483,137006.15463,0.331273518320991,300.84,0.517581888342981,0.388363848535382,0.259590885578058,0.357872715592384,0.499241354160531,0.433506118886325,0.444607230716822,0.425586671671089,0.587781847131496,0.543543732044648,0.080765230326476,0.043742456903251,0.529938593081066,0.13274124267283,0.188198600436398,0.095304560547276,0.123595228753194,2.0
